drug,gene,effect,strength,source,evidence_level
clopidogrel,CYP2B6,inhibitor,weak,Flockhart,high
thiotepa,CYP2B6,inhibitor,weak,Flockhart,high
ticlopidine,CYP2B6,inhibitor,strong,Flockhart,high
voriconazole,CYP2B6,inhibitor,moderate,Flockhart,high
fluconazole,CYP2C19,inhibitor,strong,Flockhart,high
fluoxetine,CYP2C19,inhibitor,strong,Flockhart,high
fluvoxamine,CYP2C19,inhibitor,strong,Flockhart,high
ticlopidine,CYP2C19,inhibitor,strong,Flockhart,high
cenobamate,CYP2C19,inhibitor,moderate,Flockhart,high
esomeprazole,CYP2C19,inhibitor,moderate,Flockhart,high
ketoconazole,CYP2C19,inhibitor,moderate,Flockhart,high
voriconazole,CYP2C19,inhibitor,moderate,Flockhart,high
armodafinil,CYP2C19,inhibitor,weak,Flockhart,high
chloramphenicol,CYP2C19,inhibitor,weak,Flockhart,high
cimetidine,CYP2C19,inhibitor,weak,Flockhart,high
felbamate,CYP2C19,inhibitor,weak,Flockhart,high
isoniazid,CYP2C19,inhibitor,weak,Flockhart,high
luliconazole,CYP2C19,inhibitor,weak,Flockhart,high
modafinil,CYP2C19,inhibitor,weak,Flockhart,high
omeprazole,CYP2C19,inhibitor,weak,Flockhart,high
oral contraceptives,CYP2C19,inhibitor,weak,Flockhart,high
pirtobrutinib,CYP2C19,inhibitor,weak,Flockhart,high
sulfaphenazole,CYP2C9,inhibitor,strong,Flockhart,high
amiodarone,CYP2C9,inhibitor,moderate,Flockhart,high
fluconazole,CYP2C9,inhibitor,moderate,Flockhart,high
metronidazole,CYP2C9,inhibitor,moderate,Flockhart,high
phenylbutazone,CYP2C9,inhibitor,moderate,Flockhart,high
capecitabine,CYP2C9,inhibitor,weak,Flockhart,high
ceritinib,CYP2C9,inhibitor,weak,Flockhart,high
efavirenz,CYP2C9,inhibitor,weak,Flockhart,high
fluvastatin,CYP2C9,inhibitor,weak,Flockhart,high
isoniazid,CYP2C9,inhibitor,weak,Flockhart,high
lomitapide,CYP2C9,inhibitor,weak,Flockhart,high
quercetin,CYP2C9,inhibitor,weak,Flockhart,high
rucaparib,CYP2C9,inhibitor,weak,Flockhart,high
sulfamethoxazole,CYP2C9,inhibitor,weak,Flockhart,high
voriconazole,CYP2C9,inhibitor,weak,Flockhart,high
zafirlukast,CYP2C9,inhibitor,weak,Flockhart,high
bupropion,CYP2D6,inhibitor,strong,Flockhart,high
fluoxetine,CYP2D6,inhibitor,strong,Flockhart,high
paroxetine,CYP2D6,inhibitor,strong,Flockhart,high
quinidine,CYP2D6,inhibitor,strong,Flockhart,high
perhexiline,CYP2D6,inhibitor,strong,Flockhart,high
abiraterone,CYP2D6,inhibitor,moderate,Flockhart,high
cinacalcet,CYP2D6,inhibitor,moderate,Flockhart,high
duloxetine,CYP2D6,inhibitor,moderate,Flockhart,high
halofantrine,CYP2D6,inhibitor,moderate,Flockhart,high
metoclopramide,CYP2D6,inhibitor,moderate,Flockhart,high
mirabegron,CYP2D6,inhibitor,moderate,Flockhart,high
rolapitant,CYP2D6,inhibitor,moderate,Flockhart,high
amiodarone,CYP2D6,inhibitor,weak,Flockhart,high
celecoxib,CYP2D6,inhibitor,weak,Flockhart,high
cimetidine,CYP2D6,inhibitor,weak,Flockhart,high
citalopram,CYP2D6,inhibitor,weak,Flockhart,high
clobazam,CYP2D6,inhibitor,weak,Flockhart,high
clomipramine,CYP2D6,inhibitor,weak,Flockhart,high
diphenhydramine,CYP2D6,inhibitor,weak,Flockhart,high
doxepin,CYP2D6,inhibitor,weak,Flockhart,high
escitalopram,CYP2D6,inhibitor,weak,Flockhart,high
fluvoxamine,CYP2D6,inhibitor,weak,Flockhart,high
hydroxychloroquine,CYP2D6,inhibitor,weak,Flockhart,high
labetalol,CYP2D6,inhibitor,weak,Flockhart,high
levomepromazine,CYP2D6,inhibitor,weak,Flockhart,high
lorcaserin,CYP2D6,inhibitor,weak,Flockhart,high
propafenone,CYP2D6,inhibitor,weak,Flockhart,high
ritonavir,CYP2D6,inhibitor,weak,Flockhart,high
sertraline,CYP2D6,inhibitor,weak,Flockhart,high
terbinafine (oral),CYP2D6,inhibitor,weak,Flockhart,high
vemurafenib,CYP2D6,inhibitor,weak,Flockhart,high
clarithromycin,CYP3A5,inhibitor,strong,Flockhart,high
delavirdine,CYP3A5,inhibitor,strong,Flockhart,high
indinavir,CYP3A5,inhibitor,strong,Flockhart,high
itraconazole,CYP3A5,inhibitor,strong,Flockhart,high
ketoconazole,CYP3A5,inhibitor,strong,Flockhart,high
lopinavir/ritonavir,CYP3A5,inhibitor,strong,Flockhart,high
nefazodone,CYP3A5,inhibitor,strong,Flockhart,high
nelfinavir,CYP3A5,inhibitor,strong,Flockhart,high
posaconazole,CYP3A5,inhibitor,strong,Flockhart,high
ritonavir,CYP3A5,inhibitor,strong,Flockhart,high
saquinavir,CYP3A5,inhibitor,strong,Flockhart,high
telithromycin,CYP3A5,inhibitor,strong,Flockhart,high
voriconazole,CYP3A5,inhibitor,strong,Flockhart,high
amlodipine,CYP3A5,inhibitor,moderate,Flockhart,high
aprepitant,CYP3A5,inhibitor,moderate,Flockhart,high
ciprofloxacin,CYP3A5,inhibitor,moderate,Flockhart,high
conivaptan,CYP3A5,inhibitor,moderate,Flockhart,high
crizotinib,CYP3A5,inhibitor,moderate,Flockhart,high
diltiazem,CYP3A5,inhibitor,moderate,Flockhart,high
dronedarone,CYP3A5,inhibitor,moderate,Flockhart,high
fluconazole,CYP3A5,inhibitor,moderate,Flockhart,high
imatinib,CYP3A5,inhibitor,moderate,Flockhart,high
isavuconazole,CYP3A5,inhibitor,moderate,Flockhart,high
netupitant,CYP3A5,inhibitor,moderate,Flockhart,high
quercetin,CYP3A5,inhibitor,moderate,Flockhart,high
ranolazine,CYP3A5,inhibitor,moderate,Flockhart,high
verapamil,CYP3A5,inhibitor,moderate,Flockhart,high
amiodarone,CYP3A5,inhibitor,weak,Flockhart,high
atazanavir,CYP3A5,inhibitor,weak,Flockhart,high
chloramphenicol,CYP3A5,inhibitor,weak,Flockhart,high
cimetidine,CYP3A5,inhibitor,weak,Flockhart,high
clotrimazole,CYP3A5,inhibitor,weak,Flockhart,high
cobicistat,CYP3A5,inhibitor,weak,Flockhart,high
cyclosporine,CYP3A5,inhibitor,weak,Flockhart,high
esomeprazole,CYP3A5,inhibitor,weak,Flockhart,high
fluvoxamine,CYP3A5,inhibitor,weak,Flockhart,high
fosaprepitant,CYP3A5,inhibitor,weak,Flockhart,high
idelalisib,CYP3A5,inhibitor,weak,Flockhart,high
lomitapide,CYP3A5,inhibitor,weak,Flockhart,high
mifepristone,CYP3A5,inhibitor,weak,Flockhart,high
omeprazole,CYP3A5,inhibitor,weak,Flockhart,high
pirtobrutinib,CYP3A5,inhibitor,weak,Flockhart,high
tucatinib,CYP3A5,inhibitor,weak,Flockhart,high
efavirenz,CYP2B6,inducer,strong,Flockhart,high
artemisinin,CYP2B6,inducer,moderate,Flockhart,high
carbamazepine,CYP2B6,inducer,moderate,Flockhart,high
rifampin,CYP2B6,inducer,moderate,Flockhart,high
lemborexant,CYP2B6,inducer,weak,Flockhart,high
nevirapine,CYP2B6,inducer,weak,Flockhart,high
efavirenz,CYP2C19,inducer,moderate,Flockhart,high
enzalutamide,CYP2C19,inducer,moderate,Flockhart,high
rifampin,CYP2C19,inducer,moderate,Flockhart,high
st. john's wort,CYP2C19,inducer,moderate,Flockhart,high
letermovir,CYP2C19,inducer,weak,Flockhart,high
ritonavir,CYP2C19,inducer,weak,Flockhart,high
carbamazepine,CYP2C9,inducer,moderate,Flockhart,high
enzalutamide,CYP2C9,inducer,moderate,Flockhart,high
rifampin,CYP2C9,inducer,moderate,Flockhart,high
dabrafenib,CYP2C9,inducer,weak,Flockhart,high
nevirapine,CYP2C9,inducer,weak,Flockhart,high
phenobarbital,CYP2C9,inducer,weak,Flockhart,high
st. john's wort,CYP2C9,inducer,weak,Flockhart,high
carbamazepine,CYP3A5,inducer,strong,Flockhart,high
enzalutamide,CYP3A5,inducer,strong,Flockhart,high
ivosedinib,CYP3A5,inducer,strong,Flockhart,high
rifampin,CYP3A5,inducer,strong,Flockhart,high
cenobamate,CYP3A5,inducer,moderate,Flockhart,high
dabrafenib,CYP3A5,inducer,moderate,Flockhart,high
efavirenz,CYP3A5,inducer,moderate,Flockhart,high
elagolix,CYP3A5,inducer,moderate,Flockhart,high
eslicarbazepine,CYP3A5,inducer,moderate,Flockhart,high
lorlatinib,CYP3A5,inducer,moderate,Flockhart,high
oxcarbazepine,CYP3A5,inducer,moderate,Flockhart,high
phenobarbital,CYP3A5,inducer,moderate,Flockhart,high
phenytoin,CYP3A5,inducer,moderate,Flockhart,high
st. john's wort,CYP3A5,inducer,moderate,Flockhart,high
betamethasone,CYP3A5,inducer,weak,Flockhart,high
brigatinib,CYP3A5,inducer,weak,Flockhart,high
dexamethasone,CYP3A5,inducer,weak,Flockhart,high
methylprednisolone,CYP3A5,inducer,weak,Flockhart,high
modafinil,CYP3A5,inducer,weak,Flockhart,high
nevirapine,CYP3A5,inducer,weak,Flockhart,high
pioglitazone,CYP3A5,inducer,weak,Flockhart,high
prednisolone,CYP3A5,inducer,weak,Flockhart,high
prednisone,CYP3A5,inducer,weak,Flockhart,high
rifabutin,CYP3A5,inducer,weak,Flockhart,high
sotorasib,CYP3A5,inducer,weak,Flockhart,high
suzetrigine,CYP3A5,inducer,weak,Flockhart,high
telotristat,CYP3A5,inducer,weak,Flockhart,high
troglitazone,CYP3A5,inducer,weak,Flockhart,high
