symbol,name
ABCG2,ATP Binding Cassette Subfamily G Member 2
CACNA1S,Calcium Voltage-Gated Channel Subunit Alpha1 S
CFTR,Cystic Fibrosis Transmembrane Conductance Regulator
CYP2B6,Cytochrome P450 2B6
CYP2C19,Cytochrome P450 2C19
CYP2C9,Cytochrome P450 2C9
CYP2D6,Cytochrome P450 2D6
CYP3A5,Cytochrome P450 3A5
CYP4F2,Cytochrome P450 4F2
DPYD,Dihydropyrimidine Dehydrogenase
G6PD,Glucose-6-Phosphate Dehydrogenase
HLA-A,Major Histocompatibility Complex Class I A
HLA-B,Major Histocompatibility Complex Class I B
IFNL3,Interferon Lambda 3
MT-RNR1,Mitochondrially Encoded 12S RNA
NAT2,N-Acetyltransferase 2
NUDT15,Nudix Hydrolase 15
RYR1,Ryanodine Receptor 1
SLCO1B1,Solute Carrier Organic Anion Transporter Family Member 1B1
TPMT,Thiopurine S-methyltransferase
UGT1A1,UDP Glucuronosyltransferase Family 1 Member A1
VKORC1,Vitamin K Epoxide Reductase Complex Subunit 1
